id,caption,timestamp,type,productType,firstComment,likesCount,commentsCount,videoPlayCount,videoViewCount,videoDuration,word_length,tokens,Sentiment_Score
3.5036548937029816e+18,¿Qué opinan? Quisiera escucharles y después compartirles lo que yo pensé cuando lo vi,2024-11-18 00:06:16,Video,clips,No me copa la idea de exponerlos ..,572,47,26703,10816,90.022,14,"['¿', 'Qué', 'opinan', '?', 'Quisiera', 'escucharles', 'después', 'compartirles', 'pensé', 'vi']",0.0
3.502716156181836e+18,"¡Considero que del trabajo de escritorio que realizamos los profes, este es uno de los más retadores! Así que quiero compartirle este banco de ideas que puede ayudarles mucho en la redacciones de sus observadores/descriptivos 

¡Me cuentan por fa, si les gusta y les ayuda!",2024-11-16 17:01:13,Video,clips,Graciiiasssssss eres un Solllllll ❤️,111,50,4217,1272,18.481,45,"['¡', 'Considero', 'trabajo', 'escritorio', 'realizamos', 'profes', ',', 'retadores', '!', 'Así', 'quiero', 'compartirle', 'banco', 'ideas', 'puede', 'ayudarles', 'redacciones', 'observadores', '/', 'descriptivos', '¡', 'Me', 'cuentan', 'fa', ',', 'si', 'gusta', 'ayuda', '!']",0.0
3.5050790839791334e+18,"Les dejo por aquí el artículo completo 

https://www.nytimes.com/2024/11/13/learning/is-it-ethical-for-teachers-to-use-ai-to-grade-papers.html?smid=url-share",2024-11-19 23:13:29,Sidecar,0,Genial muchas gracias por compartir,159,4,0,0,0.0,8,"['Les', 'dejo', 'aquí', 'artículo', 'completo', 'https://www.nytimes.com/2024/11/13/learning/is-it-ethical-for-teachers-to-use-ai-to-grade-papers.html?smid=url-share']",0.0
3.499991410935507e+18,"Esta publicación la hice algunos años reflexionando en mi despedida de mis estudiantes de Estados Unidos. 

Fue mi primera publicación que hizo viral 

Allá era profe en quinto de primaria y cuando terminaban se iban a otra escuela y casi nunca volvía a verlos. 

Mucho/as docentes están terminando el año así que he querido reescribirla añadiendo algunas cositas más.

¡Mucho amor para todos y si les duele el corazón, les felicito porque lo han entregado todo! ♥️♥️♥️",2024-11-12 22:45:11,Sidecar,0,"Tanto romanticismo, yo feliz de decir adiós y hayan terminado una etapa. Así es el trabajo, es cíclico, hoy sin unos mañana son otros. No son tu familia, son tus estudiantes ya paren y busquense una vida más allá del trabajo.",1468,48,0,0,0.0,77,"['Esta', 'publicación', 'hice', 'años', 'reflexionando', 'despedida', 'estudiantes', 'Estados', 'Unidos', '.', 'Fue', 'primera', 'publicación', 'hizo', 'viral', 'Allá', 'profe', 'quinto', 'primaria', 'terminaban', 'iban', 'escuela', 'casi', 'nunca', 'volvía', 'verlos', '.', 'Mucho', '/', 'as', 'docentes', 'terminando', 'año', 'así', 'querido', 'reescribirla', 'añadiendo', 'cositas', '.', '¡', 'Mucho', 'amor', 'si', 'duele', 'corazón', ',', 'felicito', 'entregado', '!', '♥', '️', '♥', '️', '♥', '️']",0.0
3.4637807113231683e+18,"El momento educativo que nos toca vivir es muy difícil y retador. 

Un deseo (y creo que hasta a veces una exigencia) de trasformar la educación y que sea algo diferente.

Y al mismo tiempo unas exigencias para ser los mejores en prácticas que ya deberían pasar a la historia (exámenes de contenido de memoria para rendir en pruebas estatales y/o internacionales, currículos infinitamente extensos, presión por resultados y más)

¡Bravo a todos ustedes profes, por tratar de hacer la diferencia cuando si lo miramos con objetividad, es casi imposible! ¡Bravo a todos ustedes profes, porque aunque es casi imposible, lo hacen posible en sus clases!

Todo mi amor y gratitud 

♥️♥️♥️",2024-09-23 23:40:59,Sidecar,0,Eso mismo: carga burocrática,38948,356,0,0,0.0,112,"['El', 'momento', 'educativo', 'toca', 'vivir', 'difícil', 'retador', '.', 'Un', 'deseo', '(', 'creo', 'veces', 'exigencia', ')', 'trasformar', 'educación', 'diferente', '.', 'Y', 'mismo', 'tiempo', 'unas', 'exigencias', 'ser', 'mejores', 'prácticas', 'deberían', 'pasar', 'historia', '(', 'exámenes', 'contenido', 'memoria', 'rendir', 'pruebas', 'estatales', '/', 'internacionales', ',', 'currículos', 'infinitamente', 'extensos', ',', 'presión', 'resultados', ')', '¡', 'Bravo', 'ustedes', 'profes', ',', 'tratar', 'hacer', 'diferencia', 'si', 'miramos', 'objetividad', ',', 'casi', 'imposible', '!', '¡', 'Bravo', 'ustedes', 'profes', ',', 'aunque', 'casi', 'imposible', ',', 'hacen', 'posible', 'clases', '!', 'Todo', 'amor', 'gratitud', '♥', '️', '♥', '️', '♥', '️']",0.0
3.500798115499736e+18,"Agradezco todas las versiones que fui porque de todas aprendí montones y todas me han traído hasta la profe que soy hoy. 

Estoy segura que si hago esta publicación en unos años habrá algunas versiones es de mí hoy que habrán dejado sus aprendizajes y las que ya no querré ser.

Haber dejado de ser la última es lo que más felicidad me da el día de hoy y mi gran orgullo como profe ♥️♥️♥️

¿Qué versión de profe no quisieras volver a ser?

Esta publicación está inspirada en u a hermosa publicación de @lolas.lat",2024-11-14 01:27:57,Sidecar,0,❤️,2281,37,0,0,0.0,95,"['Agradezco', 'todas', 'versiones', 'todas', 'aprendí', 'montones', 'todas', 'traído', 'profe', 'hoy', '.', 'Estoy', 'segura', 'si', 'hago', 'publicación', 'años', 'versiones', 'hoy', 'dejado', 'aprendizajes', 'querré', 'ser', '.', 'Haber', 'dejado', 'ser', 'última', 'felicidad', 'da', 'día', 'hoy', 'gran', 'orgullo', 'profe', '♥', '️', '♥', '️', '♥', '️', '¿', 'Qué', 'versión', 'profe', 'quisieras', 'volver', 'ser', '?', 'Esta', 'publicación', 'inspirada', 'u', 'hermosa', 'publicación', '@lolas', '.', 'lat']",0.0
3.5044432988793923e+18,Una estrategias muy sencilla que siempre está incluida en mis planeaciones de clase,2024-11-19 02:10:17,Sidecar,0,Me gustaría saber más sobre este tipo de exámenes para aplicarlo con mis niños,305,2,0,0,0.0,13,"['Una', 'estrategias', 'sencilla', 'siempre', 'incluida', 'planeaciones', 'clase']",0.0
3.5057833681278116e+18,¿Y tú qué te dirías?,2024-11-20 22:32:46,Sidecar,0,,72,0,0,0,0.0,5,"['¿', 'Y', 'dirías', '?']",0.0
3.5015162580312714e+18,"¡Como profe siempre probando cosas nuevas y esta me gustó mucho como funcionó!

¡La seguiré implementando!",2024-11-15 01:14:47,Sidecar,0,No crees?,171,4,0,0,0.0,16,"['¡', 'Como', 'profe', 'siempre', 'probando', 'cosas', 'nuevas', 'gustó', 'funcionó', '!', '¡', 'La', 'seguiré', 'implementando', '!']",0.0
3.4971400840021376e+18,Deseo que este fin de semana que comienza te vayas a casa sintiéndote muy orgulloso/a de lo que haces y de lo que eres,2024-11-09 00:20:06,Sidecar,0,Gracias,1525,32,0,0,0.0,24,"['Deseo', 'fin', 'semana', 'comienza', 'vayas', 'casa', 'sintiéndote', 'orgulloso', '/', 'haces']",0.0
