id,caption,timestamp,ownerUsername,locationName,type,productType,firstComment,likesCount,commentsCount,videoPlayCount,videoViewCount,videoDuration,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,hashtags/13,hashtags/14,hashtags/15,hashtags/16,hashtags/17,hashtags/18,hashtags/19,hashtags/20,hashtags/21,hashtags/22,hashtags/23,hashtags/24,hashtags/25,hashtags/26,hashtags/27,hashtags/28,Sentiment_Score,total_seguidores,total_interac,tasa_interac,seguidoresCount_estimado,Interaccion_por_videoduracion,num_hashtags,interaction_per_hashtag,type_Image,type_Sidecar,type_Video
3.502716156181836e+18,"¡Considero que del trabajo de escritorio que realizamos los profes, este es uno de los más retadores! Así que quiero compartirle este banco de ideas que puede ayudarles mucho en la redacciones de sus observadores/descriptivos 

¡Me cuentan por fa, si les gusta y les ayuda!",2024-11-16 17:01:13,atravelerteacher,0,Video,clips,Graciiiasssssss eres un Solllllll ❤️,111,50,4217,1272,18.481,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.13781317659401643,35500,161,0.4535211267605634,148.32862488908913,0.02328017692934466,0,0.4535211267605634,0.0,0.0,1.0
3.5050790839791334e+18,"Les dejo por aquí el artículo completo 

https://www.nytimes.com/2024/11/13/learning/is-it-ethical-for-teachers-to-use-ai-to-grade-papers.html?smid=url-share",2024-11-19 23:13:29,atravelerteacher,0,Sidecar,0,Genial muchas gracias por compartir,159,4,0,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.13781317659401643,35500,163,0.45915492957746484,150.1712165026182,0.45915492957746484,0,0.45915492957746484,0.0,1.0,0.0
3.5044432988793923e+18,Una estrategias muy sencilla que siempre está incluida en mis planeaciones de clase,2024-11-19 02:10:17,atravelerteacher,0,Sidecar,0,Me gustaría saber más sobre este tipo de exámenes para aplicarlo con mis niños,305,2,0,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.13781317659401643,35500,307,0.8647887323943662,282.8378126767103,0.8647887323943662,0,0.8647887323943662,0.0,1.0,0.0
3.505783368127812e+18,¿Y tú qué te dirías?,2024-11-20 22:32:46,atravelerteacher,0,Sidecar,0,,72,0,0,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.13781317659401643,35500,72,0.2028169014084507,66.33329808704607,0.2028169014084507,0,0.2028169014084507,0.0,1.0,0.0
3.5015162580312714e+18,"¡Como profe siempre probando cosas nuevas y esta me gustó mucho como funcionó!

¡La seguiré implementando!",2024-11-15 01:14:47,atravelerteacher,"Medellín, Antioquia",Sidecar,0,No crees?,171,4,0,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.13781317659401643,35500,175,0.49295774647887325,161.22676618379253,0.49295774647887325,0,0.49295774647887325,0.0,1.0,0.0
3.489230037179434e+18,"Mi vida como profe:

1. Comencé a irme en bici al colegio 
2. Como vivo en la ciudad de la eterna primavera por supuesto que el primer día que me fui en bici me tocó una tormenta 
3. Descubrí un lugarcito encantador en el centro 
4. Terminé un curso de creación de materiales y comencé otro de AI ‍‍‍
5. Hice un picnic de escritura creativa con mis estudiantes (lo amaron ♥️♥️♥️)
6. Una compañera de tercero me pidió si le podía mostrar las representaciones de cadenas alimenticias que hicieron mis estudiante. Se me ocurrió la@idea de hacer un paseo por galería así que salimos al corredor, cada una con su representación y las estudiantes de los otros salones nos visitaron. Mis estudiantes explicaron su cadena alimenticia por ahí 20 veces y no creían en nadie 
6. Visitamos el jardín botánico como parte de nuestro proyecto de ciencias 
7. Estuve muy agripada así que no pude ir a bordar donde mi mamá como todos los jueves… pero bordé un poquito en la casa 
8. Nos visitó la universidad San Buenaventura para enseñarnos a medir e identificar árboles y todas (incluidas las profes de tercero) aprendimos lo que es la biomasa y cómo medirla y eso no dejó 
9. Tuve la última mentoria de la certificación en innovación y desarrollo sostenible que estoy haciendo con @learningbyhelping y @unesco_es ¡No puedo creer que ya este viernes entrego el proyecto!
10. Fui feliz en acro ‍♂️‍♂️‍♂️ 
11. Disfruté de mi Charlotte 
12. Me comí el postre más delicioso del mundo (aunque si hubiera sabido lo que iba a caminar al otro día - me lo hubiera comido todo yo sola )
13. Subí una montaña increíble",2024-10-29 02:24:15,atravelerteacher,0,Sidecar,0,@rafa_orozco_ds,146,7,0,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.13781317659401643,35500,153,0.4309859154929577,140.9582584349729,0.4309859154929577,0,0.4309859154929577,0.0,1.0,0.0
3.495744180665507e+18,"¿Quién se identifica? Cuando creo que lo he logrado caigo en cuenta que X no se puede sentar con Y, que a Z la senté atrás y debe estar cerca del tablero y que W no ve porque le tapa V 

Me inspiré en una publicación de @sweetnsauerfirsties",2024-11-07 02:06:41,atravelerteacher,"Medellín, Antioquia",Image,0,,134,0,0,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.13781317659401643,35500,134,0.37746478873239436,123.45363810644686,0.37746478873239436,0,0.37746478873239436,1.0,0.0,0.0
3.491276799810184e+18,"#1 Ibanasca o Dulima fue una líder y chamán de un grupo de indígenas de la zona del Cañón del Río Combeima (Tolima, Colombia ) que defendió heroicamente el territorio, las costumbres ancestrales, las tradiciones, la cultura y la cosmología de su pueblo.

Alrededor de 1550 llegaron al territorio pijao las tropas del colonizador Andrés López de Galarza. Los españoles pensaban que en las proximidades del volcán Machín existía un centro de adoración al sol y la luna donde había tesoros que eran custodiado por Ibanasca. 

Atacaron el templo de Dulima, ella fue tomada prisionera y conducida a Ibagué, juzgada por hechicera y sentenciada a morir en la hoguera. 

Dice la leyenda, que para su tribu, ella no fue quemada sino que un enviado del Dios Fuego la cubrió para purificarla y que su espíritu se convirtió en la Diosa de las Nieves que habita las profundidades del Nevado del Tolima.

#2 Esta escultura se encuentra en Ibagué. Fue elaborada en bronce por el maestro Enrique Saldaña en 1996 en honor a la líder indígena, protectora medicinal y guía espiritual de los Dulimas con la intención de plasmar de manera simbólica su inmortalidad y honrarla por la resistencia que tuvo para proteger su cultura, identidad y tradiciones.

#3 Actualmente el Nevado del Tolima, también conocido como Dulima, ha perdido la mayor parte de su glaciar debido al cambio climático. Hace poco vi un video de un senderista que lo subió y esto le causó gran tristeza. Su guía le dijo: 

“Dulima nunca muere, solo se transforma. Ella siempre va a estar con nosotros y algún día volverás a verla en el mar.“

Foto del Nevado del Tolima por @fredylopezp 

Este es un disfraz muy significativo para mí ♥️",2024-10-31 22:10:48,atravelerteacher,"Volcán Nevado Del Tolima, Dulima.",Sidecar,0,Hermosa siempre❤️❤️,84,3,0,0,0.0,1,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.13781317659401643,35500,87,0.24507042253521125,80.152735188514,0.24507042253521125,3,0.06126760563380281,0.0,1.0,0.0
3.495662892613246e+18,"¡Un fin de semana mágico!

2. Viajar viendo las montañas de mi tierra que no me dejan de quitar el aliento 
3. Estadía en una finquita de ensueño @donjuliorganizacion 
4, 5, 6, 7, 8 Visita a los termales más hermosos en los que he estado @termalessanvicente piscinas termales, casitas de vapor natural, río termal , todo en el medio de un parque natural y rodeado de un hermoso bosque
9. Puebliar
10. Cervecerías 
11. Comida deliciosa
12. Muchos cafés y muchos postres 
13. Tú

Gracias",2024-11-06 23:25:11,atravelerteacher,"Santa Rosa Cabal, Risaralda, Colombia",Sidecar,0,Hermoso,77,2,0,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.587825731032331,35500,79,0.22253521126760564,72.78236873439778,0.22253521126760564,0,0.22253521126760564,0.0,1.0,0.0
3.495712849969785e+18,,2024-11-07 01:04:27,atravelerteacher,0,Sidecar,0,"Siempre tus post en momentos relevantes de mi vida laboral, saludos!!",100,6,0,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.13781317659401643,35500,106,0.2985915492957747,97.65735551704005,0.2985915492957747,0,0.2985915492957747,0.0,1.0,0.0
